id,gen,sp,grp,en,rec,cnt,loc,lat,lon,q,length,type,rmk,file-name,date,file_path,date_iso,length_seconds
614882,Corvus,samarensis,birds,Small Crow,Frank Lambert,Philippines,"Near waterfall trail, Samar National Park, Eastern Visayas",11.8265,125.289,A,0:16,call,"Often called Mindanao Crow, this is certainly very different from other subspecies in the Slender-billed Crow complex and, like some other sspp., should be recognised as an endemic Philippine species. 
Presumably a pair, sometimes both calling on the same track in this series, sometimes just one.",XC614882-Corvus-enca_samarensis-FL calls SamarNatPark waterfall 7.49am 22Feb20 LS114547a.mp3,2020-02-22,..\data\amazonas_audio\XC614882-Corvus-samarensis.mp3,2020-02-22,16
606787,Larus,brachyrhynchus,birds,Short-billed Gull,Peter Ward and Ken Hall,Canada,"Harrison Hot Springs, Fraser Valley, British Columbia",49.304,-121.7774,A,0:17,"call, flight call",/Users/peterward/Desktop/Two Sennheiser directional microphones with Marantz cassette recorder.pdf,XC606787-Mew Gull 1.mp3,1992-03-22,..\data\amazonas_audio\XC606787-Larus-brachyrhynchus.mp3,1992-03-22,17
594854,Charmosyna,stellae,birds,Stella's Lorikeet,Scott Connop,Papua New Guinea,"Tari Gap, above 'Ambua Lodge', Southern Highlands ",-5.9603,143.1545,A,0:09,call,,XC594854-Papuan Lorikeet OCT 3 1993 call ed.mp3,1993-10-03,..\data\amazonas_audio\XC594854-Charmosyna-stellae.mp3,1993-10-03,9
590745,Dicaeum,kampalili,birds,Flame-crowned Flowerpecker,Frank Lambert,Philippines,"New Bataan, Compostela Valley, Davao Region",7.4554,126.1735,A,0:16,call,,XC590745-Dicaeum_anthonyi_(kampalili)-FL calls ComVal 1200m 15Feb20 7.50am LS114287a.mp3,2020-02-15,..\data\amazonas_audio\XC590745-Dicaeum-kampalili.mp3,2020-02-15,16
582450,Lalage,leucoptera,birds,Biak Triller,Ken Behrens,Indonesia,Biak,-1.147033,136.129483,A,0:02,song,,XC582450-VOC_190821-0733 Biak Triller EDITED BIG.mp3,2019-08-22,..\data\amazonas_audio\XC582450-Lalage-leucoptera.mp3,2019-08-22,2
579290,Saltator,olivascens,birds,Olivaceous Saltator,A Edwar H Guarín,Colombia,"Florencia, Samaná, Caldas",5.526,-75.0414,A,0:08,song,,XC579290-Saltator coerulescens.mp3,2020-03-21,..\data\amazonas_audio\XC579290-Saltator-olivascens.mp3,2020-03-21,8
576108,Pomatorhinus,bornensis,birds,Sunda Scimitar Babbler,Okamoto Keita Sin,Malaysia,"Danum Valley Field Centre, Sabah",4.9648,117.805,A,0:10,song,"Sounds so much like a Rusty-naped Pitta which obviously won't be in Danum Valley. Chestnut-backed Scimitar-babbler? 
The continuous high-pitched call, a Malacopteron babbler?
EDIT 2021-10-09: ID Resolved, see forum.","XC576108-Scimitar Babbler, Chestnut-backed (UNSURE)_2019-09-26_0804_Msia_Borneo_Sabah_Danum.mp3",2019-09-26,..\data\amazonas_audio\XC576108-Pomatorhinus-bornensis.mp3,2019-09-26,10
573311,Saltator,olivascens,birds,Olivaceous Saltator,Arcadio Marin ,Colombia,"Anapoima, Cundinamarca",4.5727,-74.5058,A,0:09,song,Individuo registrado en áreas intervenidas de bosque y matorral ,XC573311-MVI_2229.MXmp3.mp3,2019-11-24,..\data\amazonas_audio\XC573311-Saltator-olivascens.mp3,2019-11-24,9
533973,Basileuterus,delattrii,birds,Chestnut-capped Warbler,Jerome Fischer,Colombia,"Mana Dulce, Cundinamarca",4.351,-74.652,A,0:04,call,,"XC533973-Rufous-capped Warbler, call.mp3",2020-03-05,..\data\amazonas_audio\XC533973-Basileuterus-delattrii.mp3,2020-03-05,4
512775,Scytalopus,androstictus,birds,Loja Tapaculo,Hans Matheve,Ecuador,"Cerro Toledo, Podocarpus NP, Loja",-4.3777,-79.1122,A,0:15,song,,"XC512775-Paramo Tapaculo (song, Ecuador, Cerro Toledo, mar2018, 1).mp3",2018-03-29,..\data\amazonas_audio\XC512775-Scytalopus-androstictus.mp3,2018-03-29,15
506969,Grallaria,saturata,birds,Equatorial Antpitta,David Monroy Rengifo,Colombia,"Road to Nevado del Ruiz, above Manizales, Caldas, C Andes",4.9992,-75.3484,A,0:11,song,,XC506969-170508461.mp3,2019-07-27,..\data\amazonas_audio\XC506969-Grallaria-saturata.mp3,2019-07-27,11
501307,Psittinus,abbotti,birds,Simeulue Parrot,Frank Lambert,Indonesia,"Teupah Selatan, Kabupaten Simeulue, Aceh",2.3814,96.3509,A,0:13,flight call,[surely a good species!],XC501307-Psittinus_(cyanurus)_abbotti-FL flight Simeulue 1Sept19 8.33am LS117825a.mp3,2019-09-01,..\data\amazonas_audio\XC501307-Psittinus-abbotti.mp3,2019-09-01,13
498298,Saltator,grandis,birds,Cinnamon-bellied Saltator,Odirlei Vieira da Fonseca,Costa Rica,"La Paz, San Ramón, Provincia de Alajuela",10.1563,-84.5361,A,0:18,song,Spontaneous song. A couple was building a nest in a bush.,XC498298-1115_01.mp3,2019-08-02,..\data\amazonas_audio\XC498298-Saltator-grandis.mp3,2019-08-02,18
483641,Platysmurus,aterrimus,birds,Bornean Black Magpie,Hobart WQH,Malaysia,"Stapok area of Batu Kawa, Bahagian Kuching, Sarawak",1.5253,110.3126,A,0:17,call,Raw recording of the bird while at the time was observing a greater coucal foraging as well. Earlier there was another distant Bornean black magpie. Likely the subject was part of a flock. The bird was seen skulking in a tall tree and did not show much of itself. The coucal was still there but eventually it moved back into the undergrowth. The black magpie is the same one as the one in XC483640.,XC483641-VID_20190524_072033 Black Magpie 2.mp3,2019-05-24,..\data\amazonas_audio\XC483641-Platysmurus-aterrimus.mp3,2019-05-24,17
483640,Platysmurus,aterrimus,birds,Bornean Black Magpie,Hobart WQH,Malaysia,"Stapok area of Batu Kawa, Bahagian Kuching, Sarawak",1.5253,110.3126,A,0:18,call,Raw recording of the bird while at the time was observing a greater coucal foraging as well. Earlier there was another distant Bornean black magpie. Likely the subject was part of a flock. The bird was seen skulking in a tall tree and did not show much of itself.,XC483640-VID_20190524_072010 Black Magpie.mp3,2019-05-24,..\data\amazonas_audio\XC483640-Platysmurus-aterrimus.mp3,2019-05-24,18
461974,Polioptila,bilineata,birds,White-browed Gnatcatcher,Leonardo Ordóñez-Delgado,Ecuador,"Alamala, Catamayo, Loja",-3.9572,-79.4202,A,0:12,song,,XC461974-3. Polioptila plumbea XC.MP3,2018-07-07,..\data\amazonas_audio\XC461974-Polioptila-bilineata.mp3,2018-07-07,12
451918,Platysmurus,aterrimus,birds,Bornean Black Magpie,Hobart WQH,Malaysia,"Stapok area of Batu Kawa, Bahagian Kuching, Sarawak",1.525,110.3125,A,0:09,"call, song","A singular call made by the bird. It was quite near to where I was standing but did not see it. Lately this bird have been around for quite some time, but this is the closest time I got to hear it.",XC451918-V_20190117_081751(Black magpie)1.mp3,2019-01-17,..\data\amazonas_audio\XC451918-Platysmurus-aterrimus.mp3,2019-01-17,9
441040,Saltator,grandis,birds,Cinnamon-bellied Saltator,Manuel Grosselet,Mexico,"Salto de Agua, Pijijiapan, Chiapas",15.5746,-93.1928,A,0:13,call,"Wildtronics mono amplified
",XC441040-Grayish Saltator calls song salto sept 9 832_3664.mp3,2018-09-09,..\data\amazonas_audio\XC441040-Saltator-grandis.mp3,2018-09-09,13
432119,Pomatorhinus,bornensis,birds,Sunda Scimitar Babbler,Wan Iskandar Buniyamin,Malaysia,"Sabah (near  Keningau), Bahagian Pedalaman, Sabah",5.4007,116.0997,A,0:14,call,"Equipment Used:
Zoom H5 Recorder
Zoom Stereo Shotgun Microphone",XC432119-Babbler-Chestnut Backed Scimitar1.MP3,2018-08-25,..\data\amazonas_audio\XC432119-Pomatorhinus-bornensis.mp3,2018-08-25,14
414903,Psittinus,abbotti,birds,Simeulue Parrot,Ding Li Yong,Indonesia,"Teupah Barat, Kabupaten Simeulue, Aceh",2.4634,96.3007,A,0:19,song,,XC414903-Simeulue Parrot_Teupah_Yong Ding Li.mp3,2017-03-20,..\data\amazonas_audio\XC414903-Psittinus-abbotti.mp3,2017-03-20,19
412325,Lycocorax,obiensis,birds,Obi Paradise-crow,Ross Gallardy,Indonesia,"Obi, South Halmahera Regency, North Maluku",-1.3791,127.6462,A,0:01,call,,XC412325-ObiParadiseCrow_Obi_071717_call.mp3,2017-07-17,..\data\amazonas_audio\XC412325-Lycocorax-obiensis.mp3,2017-07-17,1
410400,Pitta,concinna,birds,Ornate Pitta,Ross Gallardy,Indonesia,"Cibal, Kabupaten Manggarai, Nusa Tenggara Timur",-8.4842,120.495,A,0:13,song,,XC410400-ElegantPitta_Flores_062917_song.mp3,2017-06-29,..\data\amazonas_audio\XC410400-Pitta-concinna.mp3,2017-06-29,13
410249,Basileuterus,delattrii,birds,Chestnut-capped Warbler,Julio Acosta,El Salvador,Bosque de Cinquera,13.8819,-88.9632,A,0:19,"call, song",,XC410249-MP RUFOUUS CAPPED WARBLER.mp3,2017-06-12,..\data\amazonas_audio\XC410249-Basileuterus-delattrii.mp3,2017-06-12,19
403698,Copsychus,superciliaris,birds,Visayan Shama,Ross Gallardy,Philippines,"Libertad (near  Buruanga), Aklan, Western Visayas",11.8,121.9667,A,0:16,song,,XC403698-VisayanShama_Panay_052717_song.mp3,2017-05-27,..\data\amazonas_audio\XC403698-Copsychus-superciliaris.mp3,2017-05-27,16
396117,Anthreptes,tephrolaemus,birds,Grey-chinned Sunbird,James Bradley,Kenya,"Rondo Retreat (Lower garden), Kakamega Forest",0.226,34.8846,A,0:18,call,,XC396117-Green Sunbird_Kakamega_4Dec2017_1400_J.Bradley.mp3,2017-12-04,..\data\amazonas_audio\XC396117-Anthreptes-tephrolaemus.mp3,2017-12-04,18
395311,Ducula,geelvinkiana,birds,Geelvink Imperial Pigeon,JACOB Hervé,Indonesia,Numfor island Indonesia,-0.9825,134.8668,A,0:13,call,,XC395311-geelvink i p 3 6:10 14 h 200 m.mp3,2017-10-06,..\data\amazonas_audio\XC395311-Ducula-geelvinkiana.mp3,2017-10-06,13
390487,Pyriglena,maura,birds,Western Fire-eye,Jerome Fischer,Ecuador,"Wild Sumaco, Napo",-0.623,-77.6028,A,0:16,call,,"XC390487-White-backed Fire-eye, 19.10., call, WS.mp3",2017-10-19,..\data\amazonas_audio\XC390487-Pyriglena-maura.mp3,2017-10-19,16
388835,Basileuterus,delattrii,birds,Chestnut-capped Warbler,Kent Livezey,Panama,"El Valle de Antón, Coclé Province",8.6001,-80.1251,A,0:13,call,,XC388835-rufous-capped warbler chips_-3dB_El Valle_2017.09.25 0819.mp3,2017-09-25,..\data\amazonas_audio\XC388835-Basileuterus-delattrii.mp3,2017-09-25,13
353225,Grallaria,saltuensis,birds,Perija Antpitta,Ross Gallardy,Colombia,"Cesar, Manaure, Serranía del Perijá, arriba de El Cinco",10.3643,-72.9458,A,0:09,song,,XC353225-PerijaAntpitta_Colombia_121316_song.mp3,2016-12-13,..\data\amazonas_audio\XC353225-Grallaria-saltuensis.mp3,2016-12-13,9
353224,Grallaria,saltuensis,birds,Perija Antpitta,Ross Gallardy,Colombia,"Cesar, Manaure, Serranía del Perijá, arriba de El Cinco",10.3643,-72.9458,A,0:12,call,,XC353224-PerijaAntpitta_Colombia_121316_call.mp3,2016-12-13,..\data\amazonas_audio\XC353224-Grallaria-saltuensis.mp3,2016-12-13,12
349276,Platysmurus,aterrimus,birds,Bornean Black Magpie,Billy Ung,Malaysia,"Sarawak (near  Bintangor), Bahagian Sarikei, Sarawak",2.0585,111.6934,A,0:09,"flight call, song",,XC349276-Bornean Black Magpie.mp3,2016-12-23,..\data\amazonas_audio\XC349276-Platysmurus-aterrimus.mp3,2016-12-23,9
347210,Prinia,lepida,birds,Delicate Prinia,Tero Linjama,Turkey,Göksü delta,36.2944,33.9409,A,0:10,song,,XC347210-683_prigra_laulu2-matala_Turkki_Göksu_2007-05-22.mp3,2007-05-22,..\data\amazonas_audio\XC347210-Prinia-lepida.mp3,2007-05-22,10
343646,Merops,cyanophrys,birds,Arabian Green Bee-eater,Tero Linjama,Israel,"Har Hanegev Hadromi (near  Eilat), Be'er Sheva, South District",29.7606,34.9724,A,0:04,call,,XC343646-521_merori_kutsu2_Israel_Eilat_2009-02-26.mp3,2009-02-26,..\data\amazonas_audio\XC343646-Merops-cyanophrys.mp3,2009-02-26,4
328132,Saltator,grandis,birds,Cinnamon-bellied Saltator,Abizai Chinchilla,El Salvador,"Col. Las Vegas, Ciudad Arce, La Libertad",13.8451,-89.4498,A,0:14,song,,XC328132-SALCOE_7702.mp3,2015-05-01,..\data\amazonas_audio\XC328132-Saltator-grandis.mp3,2015-05-01,14
320936,Copsychus,superciliaris,birds,Visayan Shama,Ross Gallardy,Philippines,"Siaton, Negros Oriental, Central Visayas",9.1263,123.0295,A,0:20,song,,XC320936-VisayanShama_Negros_051616_song3.mp3,2016-05-16,..\data\amazonas_audio\XC320936-Copsychus-superciliaris.mp3,2016-05-16,20
320935,Copsychus,superciliaris,birds,Visayan Shama,Ross Gallardy,Philippines,"Siaton, Negros Oriental, Central Visayas",9.1263,123.0295,A,0:14,song,,XC320935-VisayanShama_Negros_051616_song2.mp3,2016-05-16,..\data\amazonas_audio\XC320935-Copsychus-superciliaris.mp3,2016-05-16,14
320934,Copsychus,superciliaris,birds,Visayan Shama,Ross Gallardy,Philippines,"Siaton, Negros Oriental, Central Visayas",9.1263,123.0295,A,0:19,song,,XC320934-VisayanShama_Negros_051616_song.mp3,2016-05-16,..\data\amazonas_audio\XC320934-Copsychus-superciliaris.mp3,2016-05-16,19
317808,Saltator,olivascens,birds,Olivaceous Saltator,Nick Komar,Colombia,"Cereté, Córdoba",8.8667,-75.7859,A,0:12,song,Low-density residential area with managed landscape adjacent to cattle pasture with scattered trees and hedges. Recording edited for clarity.,XC317808-COL127 GRSA alt song wtdo 1630 05082016 NK filtered.mp3,2016-05-08,..\data\amazonas_audio\XC317808-Saltator-olivascens.mp3,2016-05-08,12
